p.x1_.value() = -0.882835,   p.x2_.value() = 2.93588e-08,   res["objective"] = 72.4335,   
p.x1_.value() = 0.596725,   p.x2_.value() = 1.84384,   res["objective"] = 28.521,   
p.x1_.value() = 0.85779,   p.x2_.value() = 5.5419,   res["objective"] = 16.9403,   
p.x1_.value() = -0.599168,   p.x2_.value() = 4.03428,   res["objective"] = 26.7249,   
p.x1_.value() = 0.759232,   p.x2_.value() = 4.99019,   res["objective"] = 16.9804,   
p.x1_.value() = 0.652472,   p.x2_.value() = 8.90134,   res["objective"] = 32.7213,   
p.x1_.value() = 0.571915,   p.x2_.value() = 6.22746,   res["objective"] = 19.2741,   
p.x1_.value() = 1.13151,   p.x2_.value() = 4.23966,   res["objective"] = 14.0993,   
p.x1_.value() = -1.34473,   p.x2_.value() = 7.54527,   res["objective"] = 12.8387,   
p.x1_.value() = -1.09626,   p.x2_.value() = 7.0644,   res["objective"] = 15.0857,   
p.x1_.value() = 2.42713,   p.x2_.value() = 2.04876,   res["objective"] = 3.46753,   
p.x1_.value() = 2.86969,   p.x2_.value() = 2.50478,   res["objective"] = 0.750714,   
p.x1_.value() = -3.73931,   p.x2_.value() = 8.69232,   res["objective"] = 27.7199,   
p.x1_.value() = 3.42711,   p.x2_.value() = 1.41659,   res["objective"] = 1.20428,   
p.x1_.value() = 3.1372,   p.x2_.value() = 2.0514,   res["objective"] = 0.449521,   
p.x1_.value() = 3.39906,   p.x2_.value() = 1.0001e-08,   res["objective"] = 5.05235,   
p.x1_.value() = 8.81627,   p.x2_.value() = 1.00003e-08,   res["objective"] = 6.15971,   
p.x1_.value() = 8.42946,   p.x2_.value() = 2.69256,   res["objective"] = 5.63752,   
p.x1_.value() = 7.70727,   p.x2_.value() = 0.799792,   res["objective"] = 11.7728,   
p.x1_.value() = 9.89133,   p.x2_.value() = 6.00282,   res["objective"] = 11.0723,   
