tlb_page_size,tlb_entries,tlb_assoc,cycle_time,tlb_max_outstanding_walks,tlb_miss_latency,cache_line_sz,cache_assoc,cache_queue_size,tlb_hit_latency,pipelined_dma,cache_size,pipelining,cache_hit_latency,cache_bandwidth,tlb_bandwidth,success,cycle,power,area
4096,0,4,2,4,11,32,16,128,4,0,16384,1,3,15,1,True,70761,8.32805,98697.5
4096,0,4,2,4,14,32,16,64,1,0,16384,0,2,12,1,True,130806,7.21408,96783.4
4096,0,4,2,4,18,32,2,128,1,0,131072,1,4,16,2,True,64876,15.3845,897129.0
4096,0,4,2,8,17,64,1,32,4,0,32768,0,3,11,2,True,176655,5.93747,223748.0
4096,0,4,3,8,19,16,1,64,3,0,16384,0,2,4,2,True,162299,3.65887,213308.0
4096,0,4,4,4,10,16,16,32,1,1,131072,1,1,13,2,True,46192,15.6572,811416.0
4096,0,4,4,4,10,16,16,64,1,1,131072,0,3,11,2,True,139094,12.1376,809885.0
4096,0,4,5,8,17,64,2,128,1,1,65536,1,4,12,1,True,55431,5.7926,212094.0
4096,0,8,1,8,13,64,8,32,3,1,131072,0,4,13,2,True,169803,19.6398,780004.0
4096,0,8,2,4,10,32,1,32,2,0,16384,1,3,14,1,True,69272,7.48428,90048.3
4096,0,8,2,8,16,32,4,128,4,0,131072,1,4,7,1,True,70463,13.6862,469578.0
4096,0,8,3,4,20,64,4,128,4,0,32768,0,2,5,2,True,156138,4.84217,223936.0
4096,0,8,4,4,13,64,16,32,1,1,131072,1,1,11,2,True,50384,13.4204,843351.0
4096,0,8,5,4,20,32,16,128,3,0,131072,1,2,16,2,True,56166,12.1285,842866.0
4096,0,16,1,4,12,32,16,32,4,0,65536,0,1,8,1,True,151120,16.4942,217680.0
4096,0,16,1,4,15,16,16,128,2,1,32768,1,1,15,2,True,61375,26.6973,390326.0
4096,0,16,1,4,15,64,16,64,3,1,32768,1,1,14,1,True,72325,18.4285,144324.0
4096,0,16,1,4,16,16,8,128,4,0,16384,1,2,13,1,True,75143,16.7083,98702.9
4096,0,16,1,4,18,64,1,32,2,0,16384,1,3,10,2,True,77753,14.8701,137838.0
4096,0,16,1,8,16,16,2,128,4,1,16384,0,1,13,2,True,178378,10.7196,201862.0
4096,0,16,2,4,10,16,2,64,4,0,65536,1,4,15,2,True,62319,12.7321,492562.0
4096,0,16,2,8,15,64,4,128,1,0,131072,0,2,6,2,True,124126,14.1471,894946.0
4096,0,16,3,4,14,64,4,128,3,0,32768,0,2,8,1,True,145295,4.48035,118024.0
4096,0,16,3,4,18,16,16,64,1,1,65536,1,2,12,2,True,49003,13.2848,681225.0
4096,0,16,4,4,14,16,1,64,4,0,32768,0,2,7,1,True,165884,3.63102,127448.0
4096,0,16,4,8,10,16,16,128,2,1,65536,0,2,6,1,True,138503,6.57056,229711.0
4096,0,16,5,4,14,16,2,32,1,0,65536,0,4,13,2,True,149179,5.83044,487723.0
4096,0,16,5,4,16,64,8,128,3,1,32768,1,2,12,2,True,54542,5.06542,225177.0
4096,0,16,5,8,10,64,16,64,4,0,16384,1,4,12,2,True,62098,4.74965,203986.0
4096,0,16,5,8,11,32,8,32,1,1,131072,0,4,10,2,True,146048,9.24969,927050.0
4096,0,16,5,8,17,64,8,128,3,1,32768,0,3,7,1,True,156443,3.16454,117283.0
4096,4,4,2,4,10,16,8,64,3,1,65536,0,2,5,2,True,154019,9.81683,510428.0
4096,4,4,2,4,16,64,4,128,4,0,65536,1,4,4,1,True,69069,9.61793,219835.0
4096,4,4,2,4,20,64,16,32,3,0,131072,1,2,12,2,True,62994,17.7386,846184.0
4096,4,4,2,8,10,16,1,64,1,0,131072,1,1,16,2,True,50006,20.2694,1173700.0
4096,4,4,2,8,13,32,4,128,4,1,131072,0,4,4,2,True,182181,12.004,894733.0
4096,4,4,3,4,12,32,4,32,1,0,131072,1,2,12,1,True,56107,12.0194,468080.0
4096,4,4,3,4,20,16,8,32,3,1,32768,1,3,16,2,True,58808,7.98613,252045.0
4096,4,4,4,4,18,64,16,64,2,1,32768,1,1,16,2,True,53130,7.12218,277606.0
4096,4,4,4,4,19,16,16,64,1,1,32768,1,4,8,1,True,55711,6.60243,197524.0
4096,4,4,4,8,17,16,4,32,2,0,32768,0,4,10,1,True,163809,3.78153,152498.0
4096,4,4,4,8,18,16,4,32,1,1,131072,1,4,11,2,True,54401,12.7343,1167840.0
4096,8,8,2,4,11,16,1,64,1,0,65536,0,4,7,2,True,153408,9.34248,493020.0
4096,8,8,2,8,10,16,4,64,4,0,16384,0,4,16,1,True,194078,4.4571,88056.7
4096,8,8,3,4,10,64,2,128,1,0,32768,1,4,6,1,True,58707,6.38674,131634.0
4096,8,8,4,4,12,16,8,32,3,1,32768,1,3,10,1,True,55802,6.0085,154716.0
4096,8,8,5,8,11,32,1,32,4,1,16384,0,4,6,2,True,188927,2.24994,137947.0
4096,8,8,5,8,15,32,4,64,4,0,131072,0,3,6,1,True,167764,7.56071,464547.0
4096,16,16,1,8,18,16,16,128,1,1,131072,0,4,15,2,True,160711,25.5939,820683.0
4096,16,16,2,8,15,32,8,64,1,0,16384,0,1,5,1,True,119827,6.54821,81812.7
4096,16,16,2,8,17,64,2,32,4,0,32768,0,2,9,2,True,158742,6.45584,226178.0
4096,16,16,2,8,19,32,4,32,4,0,65536,1,4,11,1,True,70842,9.96832,263247.0
4096,16,16,2,8,19,32,4,64,3,0,32768,1,2,9,1,True,64651,8.90031,133332.0
4096,16,16,3,4,16,32,2,128,2,0,131072,0,4,11,2,True,158077,10.4497,893335.0
4096,16,16,3,8,13,64,16,128,3,1,16384,1,4,10,2,True,62026,7.07291,205413.0
4096,16,16,5,4,13,32,4,64,1,1,16384,1,1,16,2,True,49786,4.38134,140789.0
4096,16,16,5,4,16,16,8,32,3,0,65536,1,4,11,2,True,55917,7.75505,508842.0
4096,16,16,5,8,14,16,1,32,4,1,16384,1,4,6,2,True,62808,3.8498,213412.0
4096,8,4,1,4,11,64,16,128,4,1,32768,0,2,11,2,True,158946,16.2683,286490.0
4096,8,4,1,8,19,16,4,32,1,1,32768,1,2,10,1,True,62237,21.0468,165210.0
4096,8,4,2,8,10,32,8,32,1,0,16384,0,3,15,1,True,142125,5.67925,81812.7
4096,8,4,2,8,18,16,8,32,1,0,65536,1,2,5,1,True,51928,13.8887,344351.0
4096,8,4,3,4,15,32,1,64,2,1,65536,0,1,7,2,True,124730,7.60166,411101.0
4096,8,4,4,4,14,16,1,128,3,1,16384,0,2,8,2,True,161077,3.00655,212356.0
4096,8,4,4,4,20,32,1,32,2,1,16384,1,1,6,2,True,55863,4.71055,140336.0
4096,8,4,4,8,14,32,4,128,1,0,16384,1,3,4,2,True,57667,4.68141,141456.0
4096,8,4,4,8,18,64,16,32,4,0,131072,1,2,12,2,True,57530,12.3514,843160.0
4096,8,4,5,8,10,32,4,128,2,1,131072,0,1,5,2,True,123646,9.45094,891425.0
4096,16,8,1,4,20,64,4,128,1,0,65536,0,2,15,2,True,126439,18.2709,387920.0
4096,16,8,1,8,19,64,1,64,4,1,16384,1,4,15,2,True,83748,13.8461,138029.0
4096,16,8,2,4,11,16,2,128,1,0,32768,1,4,8,2,True,59853,10.78,250591.0
4096,16,8,2,4,17,32,1,64,1,0,65536,0,3,10,2,True,137469,9.41819,412982.0
4096,16,8,2,8,12,32,2,64,3,0,65536,1,2,15,2,True,64127,11.5056,413226.0
4096,16,8,3,4,17,16,16,64,3,0,131072,1,2,12,2,True,53245,16.973,812560.0
4096,16,8,4,4,19,64,8,64,1,0,16384,0,3,10,1,True,135539,3.18898,78974.1
4096,16,8,4,8,12,64,16,128,1,0,65536,1,4,4,2,True,57297,9.08111,536033.0
4096,16,8,4,8,14,32,1,32,4,1,32768,1,1,13,2,True,58124,5.70934,244499.0
4096,16,8,5,8,20,64,2,128,3,0,131072,1,2,4,1,True,54703,8.65012,358423.0
4096,32,16,1,4,20,16,4,128,1,1,65536,1,4,9,1,True,65006,23.0764,351433.0
4096,32,16,1,8,10,64,1,32,3,1,32768,0,3,15,1,True,171429,10.7695,138323.0
4096,32,16,1,8,12,16,16,64,1,0,131072,1,1,4,1,True,56001,35.1014,498602.0
4096,32,16,3,8,14,32,16,32,1,1,131072,0,4,12,1,True,147222,10.3426,406020.0
4096,32,16,5,4,14,16,8,128,2,0,131072,1,1,9,1,True,47961,11.259,484921.0
4096,32,16,5,4,15,64,16,64,1,1,32768,0,3,14,1,True,134012,3.93169,130562.0
4096,32,16,5,8,14,64,2,64,3,0,16384,1,2,9,2,True,55677,3.83468,126395.0
4096,12,4,1,4,19,32,4,128,4,1,16384,1,2,5,2,True,84194,14.2722,152254.0
4096,12,4,1,8,14,16,1,64,2,0,16384,0,1,8,2,True,163769,10.3885,223154.0
4096,12,4,2,8,17,64,1,64,1,0,32768,1,2,15,1,True,59204,9.22175,132463.0
4096,12,4,3,4,19,32,1,128,4,0,65536,1,4,10,2,True,65664,8.32527,413015.0
4096,12,4,4,4,13,64,1,64,1,0,16384,0,2,16,1,True,137062,3.00109,74857.0
4096,12,4,4,8,13,32,4,64,4,0,131072,0,4,6,2,True,179215,9.04013,891900.0
4096,24,8,1,4,12,32,1,64,2,1,131072,0,1,16,1,True,130426,23.155,479209.0
4096,24,8,2,4,10,32,1,64,1,1,65536,0,1,13,1,True,115181,9.3799,214799.0
4096,24,8,2,4,13,16,2,128,4,0,16384,0,3,10,2,True,185553,5.14919,193897.0
4096,24,8,2,4,20,16,1,32,2,1,65536,1,4,4,2,True,58839,13.306,494743.0
4096,24,8,4,8,17,32,2,64,1,0,32768,1,3,8,1,True,57112,5.33848,130483.0
4096,24,8,5,4,13,16,8,64,3,0,16384,0,4,6,1,True,175891,2.4681,85706.8
4096,24,8,5,4,20,32,8,64,1,1,65536,1,1,6,1,True,50098,6.66758,260194.0
4096,48,16,1,4,14,32,4,64,1,1,131072,0,3,10,1,True,141422,21.8209,475820.0
4096,48,16,1,4,19,16,8,32,1,1,131072,1,3,9,1,True,62292,31.0468,496003.0
4096,48,16,2,4,11,32,16,32,3,1,32768,0,1,15,2,True,137782,9.65662,278562.0
4096,48,16,3,4,12,16,2,128,3,0,65536,1,1,9,2,True,51101,10.7534,490682.0
4096,48,16,3,8,13,32,4,64,4,1,32768,1,1,16,2,True,57463,7.34333,225860.0
4096,48,16,4,4,13,64,2,128,4,1,65536,1,1,5,2,True,55568,7.29789,410492.0
4096,48,16,4,4,13,64,8,64,3,0,131072,0,3,16,2,True,156388,9.22199,769206.0
4096,48,16,4,4,19,64,1,32,1,0,131072,1,4,7,1,True,57185,9.44361,358766.0
4096,48,16,4,4,20,64,16,32,4,0,32768,1,4,15,2,True,62435,6.30453,277223.0
4096,48,16,5,4,10,64,16,64,2,0,65536,1,4,4,1,True,57380,6.28503,215199.0
4096,48,16,5,8,16,16,2,128,1,0,65536,0,2,14,1,True,126808,5.43506,320786.0
4096,48,16,5,8,19,16,4,128,4,1,16384,0,3,13,2,True,175529,2.73507,193247.0
4096,16,4,1,4,19,32,2,128,1,1,32768,0,3,8,2,True,147009,13.885,307336.0
4096,16,4,2,4,17,16,2,128,4,1,65536,0,1,14,1,True,152589,8.3601,324094.0
4096,16,4,2,8,15,64,4,64,2,1,32768,0,1,11,2,True,123990,7.85617,225817.0
4096,16,4,3,8,11,32,16,128,4,0,131072,1,1,12,2,True,57081,15.6438,844102.0
4096,16,4,4,4,12,32,4,32,1,0,131072,0,1,11,2,True,113441,10.6475,891900.0
4096,16,4,5,4,11,16,8,32,2,1,16384,1,2,5,1,True,52598,4.41527,87429.5
4096,16,4,5,8,17,32,1,32,3,1,16384,0,2,12,2,True,155090,2.50796,137947.0
4096,32,8,1,4,11,16,8,64,3,1,32768,0,2,5,2,True,162730,13.4107,260169.0
4096,32,8,1,8,13,16,1,128,2,0,65536,0,2,7,2,True,149138,16.9121,500985.0
4096,32,8,2,8,10,64,4,64,1,0,16384,0,2,16,1,True,125589,6.03942,77497.9
4096,32,8,2,8,19,32,1,64,3,1,32768,1,3,4,1,True,68823,8.35111,132058.0
4096,32,8,3,4,17,32,8,32,1,1,16384,1,3,4,2,True,59409,6.36814,149531.0
4096,32,8,3,4,19,32,2,64,3,1,16384,0,3,12,1,True,163459,3.42628,86333.2
4096,32,8,3,4,19,64,2,32,2,0,16384,1,3,16,2,True,58841,5.6862,128206.0
4096,32,8,3,8,14,64,8,32,3,0,131072,1,3,12,2,True,58976,12.2048,771880.0
4096,32,8,4,8,10,32,2,128,3,1,32768,0,3,4,1,True,159890,3.55539,128761.0
4096,32,8,5,4,16,64,16,64,4,0,16384,1,3,11,1,True,59400,4.05354,95165.9
4096,32,8,5,4,17,64,8,32,4,1,65536,1,3,6,2,True,58500,6.40817,379507.0
4096,32,8,5,8,10,16,2,128,3,0,131072,1,2,11,2,True,51770,11.6604,1167550.0
4096,64,16,1,4,11,16,2,64,4,1,32768,1,3,13,1,True,74772,17.5612,141238.0
4096,64,16,1,4,14,32,2,32,2,0,16384,0,1,10,2,True,141437,11.4566,150474.0
4096,64,16,1,4,14,64,4,64,4,1,131072,0,3,12,2,True,169628,19.3461,902911.0
4096,64,16,1,8,17,16,1,64,4,0,32768,0,1,7,1,True,171952,11.1169,138246.0
4096,64,16,3,4,19,64,1,32,2,1,65536,1,2,11,2,True,55392,8.88017,413158.0
4096,64,16,3,4,20,64,1,128,1,1,16384,0,4,6,1,True,161193,3.35026,75809.0
4096,64,16,3,8,18,16,1,32,3,0,16384,1,2,9,1,True,60353,5.91988,88154.3
4096,64,16,4,4,13,32,8,128,1,0,16384,0,2,16,2,True,127739,3.86204,146856.0
4096,64,16,4,4,17,16,2,128,3,0,32768,0,3,15,1,True,164716,3.69658,128717.0
4096,64,16,4,4,17,64,1,128,3,1,32768,1,2,16,1,True,57036,5.12245,129439.0
4096,64,16,4,8,14,16,2,128,2,0,65536,1,1,14,1,True,48568,8.23951,323175.0
4096,64,16,4,8,20,16,1,32,1,0,32768,0,4,16,2,True,155944,4.27048,242503.0
4096,64,16,5,4,15,16,2,128,2,1,16384,1,2,4,1,True,53263,4.22279,86624.0
4096,20,4,1,4,13,16,2,32,2,1,16384,1,4,8,1,True,78656,15.6751,97706.0
4096,20,4,1,4,20,16,1,32,2,0,16384,1,1,13,1,True,75643,16.1944,98191.8
4096,20,4,2,4,13,64,2,128,1,1,65536,1,4,10,2,True,63266,11.1033,413324.0
4096,20,4,4,4,10,64,4,128,1,0,32768,1,2,4,1,True,52399,5.52973,119177.0
4096,20,4,4,4,13,32,2,32,1,0,131072,0,4,9,2,True,146717,9.58888,892383.0
4096,20,4,4,4,14,64,16,64,4,0,65536,0,4,15,1,True,178077,5.35412,213760.0
4096,20,4,4,8,18,64,4,64,3,0,16384,1,1,5,2,True,54023,4.76189,127296.0
4096,40,8,1,4,17,16,1,64,1,1,16384,1,3,10,1,True,79104,15.5434,98000.4
4096,40,8,1,4,20,32,16,32,1,0,131072,0,4,9,2,True,152457,28.0683,852034.0
4096,40,8,1,8,11,32,16,64,3,1,131072,0,1,15,1,True,140642,22.8126,415866.0
4096,40,8,1,8,16,64,2,128,4,0,16384,0,2,13,2,True,165549,9.84217,136138.0
4096,40,8,1,8,19,16,8,32,2,1,65536,0,1,7,2,True,138668,18.6704,518393.0
4096,40,8,1,8,20,64,1,128,1,0,32768,1,3,11,2,True,74424,17.3395,233628.0
4096,40,8,2,4,15,64,1,128,4,0,16384,0,2,8,2,True,176194,4.48238,128150.0
4096,40,8,2,4,18,32,8,128,2,0,131072,1,1,10,1,True,60753,15.3694,488057.0
4096,40,8,2,8,10,16,4,32,3,1,32768,0,3,6,1,True,165476,6.0816,155331.0
4096,40,8,2,8,17,32,16,32,4,1,65536,1,4,7,1,True,70838,10.7673,211629.0
4096,40,8,3,4,11,16,8,64,4,0,65536,0,3,10,2,True,172403,7.28605,508547.0
4096,40,8,3,4,14,64,2,128,3,1,16384,1,2,16,1,True,58134,5.6786,77842.6
4096,40,8,4,4,20,16,4,128,2,0,131072,1,4,5,1,True,55088,11.4443,466698.0
4096,40,8,4,8,18,64,16,64,4,1,32768,0,1,12,2,True,144632,5.52066,275692.0
